date,Open,High,Low,Close,Adj Close,Volume,AdrActCnt,FeeTotUSD,TxCnt,TxTfrValAdjUSD
2025-07-14,120154.0,120154.0,120154.0,120185.0,,0.0,797345.0,640947.1672240634,450093.0,24869097831.14797
2025-07-15,116440.0,116440.0,116440.0,116440.0,,0.0,753728.0,498858.2628828045,421980.0,27555283265.2046
2025-07-16,118718.0,118718.0,118718.0,118718.0,,0.0,735726.0,592172.4406090176,402255.0,27035205208.93318
2025-07-17,120226.0,120226.0,120226.0,120226.0,,0.0,811618.0,716453.4024313344,428846.0,25095425680.238194
2025-07-18,117488.0,117488.0,117488.0,117488.0,,0.0,757713.0,524995.7919334312,449609.0,17609185085.22226
2025-07-19,118073.0,118073.0,118073.0,118023.0,,0.0,655287.0,518247.357078489,432190.0,8387552008.253034
2025-07-20,118517.0,118517.0,118517.0,118517.0,,0.0,625098.0,362605.3593660465,405387.0,8480399420.977846
2025-07-21,116857.0,116857.0,116857.0,116857.0,,0.0,733805.0,503048.4317906841,388565.0,16769845337.783592
2025-07-22,116857.0,116857.0,116857.0,116857.0,,0.0,730808.0,544080.707205705,423231.0,20152204153.66159
2025-07-23,118401.0,118401.0,118401.0,118401.0,,0.0,738717.0,475185.7951275712,365110.0,13058241225.217842
2025-07-24,119074.0,119074.0,119074.0,119074.0,,0.0,719805.0,1182674.4499003277,408556.0,13853318530.230793
2025-07-25,116759.0,116759.0,116759.0,116759.0,,0.0,749904.0,606640.6179392493,433467.0,24090738856.259953
2025-07-26,118275.0,118275.0,118275.0,118275.0,,0.0,652309.0,501929.32256762177,571396.0,8170753066.456368
2025-07-27,118963.0,118963.0,118963.0,118963.0,,0.0,615345.0,486977.14824011794,473722.0,6202367324.580468
2025-07-28,117784.0,117784.0,117784.0,117784.0,,0.0,728095.0,520847.642230516,502425.0,14168077526.58571
2025-07-29,117568.0,117568.0,117568.0,117568.0,,0.0,715626.0,576547.074803198,346511.0,15537768326.795067
2025-07-30,116963.0,116963.0,116963.0,116963.0,,0.0,733090.0,504044.0415163454,426989.0,14540172439.946426
2025-07-31,116964.0,116964.0,116964.0,116964.0,,0.0,752871.0,446678.5529203224,477852.0,12986942221.96982
2025-08-01,113312.0,113312.0,113312.0,113312.0,,0.0,838177.0,617772.5230681637,399495.0,19770042652.224667
2025-08-02,112298.0,112298.0,112298.0,112298.0,,0.0,693800.0,458464.3939187779,307246.0,6247108247.791597
2025-08-03,114291.0,114291.0,114291.0,114291.0,,0.0,621756.0,331869.34319834365,289554.0,6176498943.554062
2025-08-04,115311.0,115311.0,115311.0,115311.0,,0.0,728238.0,387202.0025561335,451189.0,13654141156.270823
2025-08-08,116658.0,116658.0,116658.0,116583.0,116583.0,0.0,960615.0,686118.2356289279,474837.0,13497802962.31109
2025-08-09,116576.0,116576.0,116576.0,117019.0,117019.0,0.0,767705.0,500196.1950802936,377106.0,8401212096.373391
2025-08-10,118681.0,118681.0,118681.0,118681.0,118681.0,0.0,651290.0,367458.34680095396,396369.0,7641696979.031894
2025-08-11,119219.0,119219.0,119219.0,119219.0,119219.0,0.0,760684.0,531342.4520942417,449439.0,14191090966.488518
2025-08-12,119691.0,119691.0,119691.0,119691.0,119691.0,0.0,721420.0,494706.59347907983,365290.0,13309897189.019756
2025-08-13,122767.0,122767.0,122767.0,122767.0,122767.0,0.0,753168.0,551239.9773395037,444797.0,15367783001.562937
2025-08-14,118199.0,118199.0,118199.0,118199.0,118199.0,0.0,,,,
2025-08-15,117071.0,117071.0,117071.0,117071.0,117071.0,0.0,,,,
