Date,Open,High,Low,Close,Adj_Close,Volume
2024-07-31 00:00:00,3275.2279392434525,3282.8389417009635,3235.581621497239,3276.981779516743,3276.981779516743,13805865977.524103
2024-08-01 00:00:00,3233.9136860066965,3246.515849481787,3222.2388015942947,3233.076804863122,3233.076804863122,16143420325.47769
2024-08-02 00:00:00,3207.8616816080853,3214.209957351476,3202.185271772568,3204.2465237463616,3204.2465237463616,17786413332.129932
2024-08-03 00:00:00,2982.2020463220256,2987.1900814150963,2976.2531473184304,2983.300976694291,2983.300976694291,18785849199.903355
2024-08-04 00:00:00,2902.8261415673524,2913.2685275372105,2894.289287386912,2906.7150241765007,2906.7150241765007,17701956694.58319
2024-08-05 00:00:00,2682.287431743671,2693.8793115312656,2665.689382188562,2682.4373928187924,2682.4373928187924,22171247833.139385
2024-08-06 00:00:00,2414.9515342180857,2418.5801305720856,2413.537765688039,2415.6311394312143,2415.6311394312143,73571034926.63428
2024-08-07 00:00:00,2453.9735346775315,2455.6068224838523,2444.17848919854,2455.51137665051,2455.51137665051,27613148149.796356
2024-08-08 00:00:00,2342.209819223345,2347.460123779587,2337.93649700894,2341.590346028249,2341.590346028249,24968091142.09198
2024-08-09 00:00:00,2689.5857625842746,2696.905595793032,2674.488981796374,2685.012750687489,2685.012750687489,24290512619.839314
2024-08-10 00:00:00,2604.052367232132,2613.1279240107383,2599.389441979447,2602.1840712761878,2602.1840712761878,18077335701.97768
2024-08-11 00:00:00,2604.6426202785824,2608.3531367118103,2594.757348547877,2608.0357436286963,2608.0357436286963,8849019546.648287
2024-08-12 00:00:00,2558.204370883904,2561.8246663337886,2541.397168084921,2558.790870730736,2558.790870730736,12624674028.077477
2024-08-13 00:00:00,2721.708210185409,2738.281483817774,2671.6829939285035,2726.777988551933,2726.777988551933,22670968464.846756
2024-08-14 00:00:00,2707.1933154384938,2715.777392351504,2692.549092039553,2703.5505587641255,2703.5505587641255,16366799383.61909
2024-08-15 00:00:00,2658.7441411858376,2662.8126369948795,2639.4499679055752,2662.780395092489,2662.780395092489,15887432311.728333
2024-08-16 00:00:00,2570.117784128725,2572.760413098832,2544.0369057642683,2569.8604812159274,2569.8604812159274,15498476343.410463
2024-08-17 00:00:00,2596.7024205764455,2611.252715314927,2579.786924287314,2592.249006212312,2592.249006212312,12841847017.271076
2024-08-18 00:00:00,2615.0134941492342,2629.5918510371866,2604.508301880595,2613.139261446099,2613.139261446099,5483825246.098839
2024-08-19 00:00:00,2618.6476635831814,2621.717670678545,2604.038069123885,2614.6012806263716,2614.6012806263716,8617702421.12827
2024-08-20 00:00:00,2638.5956042828057,2645.609882685654,2608.1243691714153,2640.5904207330605,2640.5904207330605,11730843561.162947
